都道府県,市町村名,役所名,lon,lat
福岡県,築上町,築上町役場,131.05604,33.656146
福岡県,那珂川市,那珂川町役場,130.4222,33.499597
福岡県,赤村,赤村役場,130.870855,33.616692
福岡県,福智町,福智町役場,130.78012,33.683263
福岡県,苅田町,苅田町役場,130.980475,33.776006
福岡県,みやこ町,みやこ町役場,130.920096,33.699236
長崎県,対馬市,対馬市役所,129.287518,34.202643
長崎県,壱岐市,壱岐市役所,129.691377,33.749978
長崎県,雲仙市,雲仙市役所,130.187508,32.835214
長崎県,五島市,五島市役所,128.840815,32.695541
佐賀県,大町町,大町町役場,130.116032,33.213871
佐賀県,江北町,江北町役場,130.15731,33.220464
佐賀県,白石町,白石町役場,130.143493,33.181082
佐賀県,太良町,太良町役場,130.179126,33.019436
佐賀県,上峰町,上峰町役場,130.426137,33.319626
佐賀県,みやき町,みやき町役場,130.45459,33.324943
佐賀県,玄海町,玄海町役場,129.874689,33.472164
佐賀県,有田町,有田町役場,129.849014,33.210574
佐賀県,嬉野市,嬉野市役所,130.06012,33.128092
佐賀県,神埼市,神埼市役所,130.373057,33.310732
佐賀県,吉野ヶ里町,吉野ヶ里町役場,130.398753,33.321148
佐賀県,基山町,基山町役場,130.523052,33.426944
長崎県,東彼杵町,東彼杵町役場,129.917149,33.037031
長崎県,波佐見町,波佐見町役場,129.895548,33.13789
長崎県,新上五島町,新上五島町役場,129.073401,32.984553
長崎県,佐々町,佐々町役場,129.650353,33.238426
長崎県,諫早市,諫早市役所,130.053601,32.844208
長崎県,時津町,時津町役場,129.848527,32.828885
長崎県,長与町,長与町役場,129.875071,32.82517
長崎県,川棚町,川棚町役場,129.861562,33.072679
長崎県,長崎市,長崎市役所,129.877906,32.750311
長崎県,島原市,島原市役所,130.370526,32.78812
長崎県,南島原市,南島原市役所,130.297783,32.659716
長崎県,平戸市,平戸市役所,129.553671,33.368065
長崎県,佐世保市,佐世保市役所,129.7150901,33.17990418
長崎県,松浦市,松浦市役所,129.709047,33.341023
長崎県,西海市,西海市役所,129.642962,32.933117
長崎県,大村市,大村市役所,129.958217,32.89996
熊本県,阿蘇市,阿蘇市役所,131.121031,32.951869
熊本県,天草市,天草市役所,130.19301,32.458621
熊本県,合志市,合志市役所,130.789726,32.885996
熊本県,美里町,美里町役場,130.789007,32.639609
熊本県,菊池市,菊池市役所,130.813241,32.979485
熊本県,宇土市,宇土市役所,130.658562,32.687292
熊本県,上天草市,上天草市役所,130.430405,32.587422
熊本県,宇城市,宇城市役所,130.684287,32.647814
熊本県,荒尾市,荒尾市役所,130.433036,32.986838
熊本県,水俣市,水俣市役所,130.408725,32.211883
熊本県,玉名市,玉名市役所,130.559619,32.928141
熊本県,山鹿市,山鹿市役所,130.691297,33.016728
長崎県,小値賀町,小値賀町役場,129.058766,33.191074
熊本県,熊本市,熊本市役所,130.707897,32.803078
熊本県,八代市,八代市役所,130.601888,32.507412
